Folder,Max ROC AUC,ROC Index,PRC at Max ROC,Max PRC AUC,PRC Index,ROC at Max PRC,Max AUC*PRC Product,ROC at Max Product,PRC at Max Product,Product Index,Max AUC+PRC Plus,ROC at Max Plus,PRC at Max Plus,Plus Index,Max ROC,Max PRC
00test,4,4,3,3,4,4,12,4,3,4,7,4,3,4,12,12
BiLSTM_BN_3layers_model_undersample_20,0.782532616,9,0.161366684,0.192847902,8,0.77393392,0.149251533,0.77393392,0.192847902,8,0.966781823,0.77393392,0.192847902,8,0.126274693,0.149251533
BiLSTM_BN_3layers_model_undersample_FocalLoss_20,0.767493687,29,0.174521331,0.177633656,21,0.762646493,0.136119697,0.766738573,0.17753078,12,0.944269353,0.766738573,0.17753078,12,0.13394402,0.135471685
BiLSTM_BN_3layers_model_undersample_FocalLoss_24,0.772673265,18,0.189967575,0.196023649,71,0.759101088,0.148801765,0.759101088,0.196023649,71,0.96264084,0.772673265,0.189967575,18,0.146782866,0.148801765
BiLSTM_BN_3layers_model_undersample_FocalLoss_30,0.767628962,22,0.197299623,0.20208021,38,0.748109513,0.151452905,0.767628962,0.197299623,22,0.964928585,0.767628962,0.197299623,22,0.151452905,0.151178127
BiLSTM_BN_3layers_model_undersample_FocalLoss_36,0.757574924,24,0.206767117,0.214385395,30,0.749915286,0.160770885,0.749915286,0.214385395,30,0.964342041,0.757574924,0.206767117,24,0.156641583,0.160770885
BiLSTM_BN_3layers_model_undersample_FocalLoss_48,0.737030025,25,0.213478377,0.220684855,31,0.725486937,0.160103979,0.725486937,0.220684855,31,0.950508401,0.737030025,0.213478377,25,0.157339973,0.160103979
BiLSTM_BN_model_smote_FocalLoss_20,0.763655194,1,0.175362554,0.183952942,2,0.759724527,0.139753561,0.759724527,0.183952942,2,0.943677468,0.759724527,0.183952942,2,0.133916525,0.139753561
BiLSTM_BN_model_smote_FocalLoss_2_20,0.758662219,2,0.172222056,0.178471054,3,0.750709762,0.133979962,0.750709762,0.178471054,3,0.930884274,0.758662219,0.172222056,2,0.130658367,0.133979962
BiLSTM_BN_model_undersample_20,0.779339425,11,0.177219551,0.193571708,8,0.777850315,0.150569814,0.777850315,0.193571708,8,0.971422023,0.777850315,0.193571708,8,0.138114183,0.150569814
BiLSTM_BN_model_undersample_FocalLoss_20,0.76597751,27,0.173587537,0.176762331,100,0.764310476,0.135101302,0.764310476,0.176762331,100,0.94142161,0.764915602,0.176506008,91,0.132964149,0.135101302
BiLSTM_BN_model_undersample_FocalLoss_24,0.775299044,55,0.192395333,0.19713217,92,0.77344639,0.152471165,0.77344639,0.19713217,92,0.97057856,0.77344639,0.19713217,92,0.149163918,0.152471165
BiLSTM_BN_model_undersample_FocalLoss_30,0.757833535,51,0.186852658,0.188892456,97,0.753146942,0.142263775,0.753146942,0.188892456,97,0.944686194,0.757833535,0.186852658,51,0.141603211,0.142263775
BiLSTM_BN_model_undersample_FocalLoss_36,0.753664072,59,0.2160094,0.217543483,72,0.750284923,0.163413218,0.753460798,0.216883504,74,0.970344303,0.753460798,0.216883504,74,0.162798524,0.163219595
BiLSTM_BN_model_undersample_FocalLoss_48,0.7287744,63,0.237466201,0.243482307,83,0.724390667,0.17637631,0.724390667,0.243482307,83,0.969646101,0.728427863,0.241218238,94,0.173059288,0.17637631
BiLSTM_BN_Resnet_model_undersample_20,0.775846933,8,0.164992264,0.180766463,7,0.769052207,0.139018847,0.769052207,0.180766463,7,0.949818669,0.769052207,0.180766463,7,0.128008742,0.139018847
BiLSTM_BN_Resnet_model_undersample_FocalLoss_20,0.769433981,49,0.177675074,0.17989329,86,0.762319184,0.137136106,0.762319184,0.17989329,86,0.947109055,0.769433981,0.177675074,49,0.13670924,0.137136106
BiLSTM_BN_Resnet_model_undersample_FocalLoss_24,0.766248344,55,0.198436727,0.199028933,51,0.76416751,0.152091444,0.76416751,0.199028933,51,0.96468507,0.766248344,0.198436727,55,0.152051813,0.152091444
BiLSTM_BN_Resnet_model_undersample_FocalLoss_30,0.751536581,19,0.193117147,0.200440389,88,0.743384511,0.149004281,0.743384511,0.200440389,88,0.945286408,0.7464833,0.198803108,93,0.145134601,0.149004281
BiLSTM_BN_Resnet_model_undersample_FocalLoss_36,0.747266301,9,0.206872424,0.211529901,29,0.736002978,0.15687301,0.746501426,0.210144287,12,0.956645713,0.746501426,0.210144287,12,0.154588791,0.155686637
BiLSTM_BN_Resnet_model_undersample_FocalLoss_48,0.728905784,20,0.222057759,0.224537527,39,0.720402506,0.162353677,0.724861615,0.223978858,24,0.950969971,0.727943711,0.22302626,29,0.161859185,0.161757397
BiLSTM_model_smote_20,0.785984938,1,0.21209203,0.21209203,1,0.785984938,0.166701141,0.785984938,0.21209203,1,0.998076968,0.785984938,0.21209203,1,0.166701141,0.166701141
BiLSTM_model_smote_FocalLoss_20,0.751811807,9,0.161087621,0.167603222,2,0.718257109,0.121107576,0.751811807,0.161087621,9,0.912899428,0.751811807,0.161087621,9,0.121107576,0.120382206
BiLSTM_model_smote_FocalLoss_2_20,0.735016113,5,0.163728023,0.172528248,3,0.721793042,0.124529689,0.721793042,0.172528248,3,0.898744136,0.735016113,0.163728023,5,0.120342735,0.124529689
BiLSTM_model_undersample_FocalLoss_20,0.717531038,100,0.166458505,0.166458505,100,0.717531038,0.119439144,0.717531038,0.166458505,100,0.883989543,0.717531038,0.166458505,100,0.119439144,0.119439144
BiLSTM_model_undersample_FocalLoss_24,0.704980695,100,0.180759888,0.181859497,98,0.704839389,0.128181737,0.704839389,0.181859497,98,0.886698887,0.704839389,0.181859497,98,0.127432232,0.128181737
BiLSTM_model_undersample_FocalLoss_30,0.700805745,99,0.190455918,0.209127848,25,0.609406856,0.13436184,0.69959809,0.192055757,93,0.891674993,0.699956999,0.191717994,94,0.133472601,0.127443945
